,Date,Price,Number Sold,Item
183,2016-03-02,3.759,104,Righteous Thunderbolt
184,2016-03-03,3.827,127,Righteous Thunderbolt
185,2016-03-04,3.924,131,Righteous Thunderbolt
186,2016-03-05,4.156,94,Righteous Thunderbolt
187,2016-03-06,4.355,99,Righteous Thunderbolt
188,2016-03-07,4.41,78,Righteous Thunderbolt
189,2016-03-08,4.322,75,Righteous Thunderbolt
190,2016-03-09,4.428,68,Righteous Thunderbolt
191,2016-03-10,4.415,77,Righteous Thunderbolt
192,2016-03-11,4.444,68,Righteous Thunderbolt
193,2016-03-12,4.463,78,Righteous Thunderbolt
194,2016-03-13,4.438,88,Righteous Thunderbolt
195,2016-03-14,4.427,79,Righteous Thunderbolt
196,2016-03-15,4.551,84,Righteous Thunderbolt
197,2016-03-16,4.52,67,Righteous Thunderbolt
198,2016-03-17,4.486,68,Righteous Thunderbolt
199,2016-03-18,4.623,102,Righteous Thunderbolt
200,2016-03-19,5.109,66,Righteous Thunderbolt
201,2016-03-20,5.212,61,Righteous Thunderbolt
202,2016-03-21,5.223,45,Righteous Thunderbolt
203,2016-03-22,4.962,65,Righteous Thunderbolt
204,2016-03-23,5.158,56,Righteous Thunderbolt
205,2016-03-24,5.38,55,Righteous Thunderbolt
206,2016-03-25,5.326,81,Righteous Thunderbolt
207,2016-03-26,5.291,65,Righteous Thunderbolt
208,2016-03-27,5.298,71,Righteous Thunderbolt
209,2016-03-28,5.21,68,Righteous Thunderbolt
210,2016-03-29,5.29,50,Righteous Thunderbolt
211,2016-03-30,5.123,58,Righteous Thunderbolt
212,2016-03-31,5.2,41,Righteous Thunderbolt
213,2016-04-01,5.197,59,Righteous Thunderbolt
214,2016-04-02,5.136,75,Righteous Thunderbolt
215,2016-04-03,4.97,60,Righteous Thunderbolt
216,2016-04-04,5.049,78,Righteous Thunderbolt
217,2016-04-05,5.096,58,Righteous Thunderbolt
218,2016-04-06,4.988,72,Righteous Thunderbolt
219,2016-04-07,4.931,66,Righteous Thunderbolt
220,2016-04-08,4.954,70,Righteous Thunderbolt
221,2016-04-09,4.99,72,Righteous Thunderbolt
222,2016-04-10,4.984,102,Righteous Thunderbolt
223,2016-04-11,4.878,68,Righteous Thunderbolt
224,2016-04-12,4.885,68,Righteous Thunderbolt
225,2016-04-13,4.822,58,Righteous Thunderbolt
226,2016-04-14,4.842,72,Righteous Thunderbolt
227,2016-04-15,4.966,65,Righteous Thunderbolt
228,2016-04-16,4.964,66,Righteous Thunderbolt
229,2016-04-17,4.915,76,Righteous Thunderbolt
230,2016-04-18,4.973,71,Righteous Thunderbolt
231,2016-04-19,4.861,60,Righteous Thunderbolt
232,2016-04-20,4.918,71,Righteous Thunderbolt
233,2016-04-21,4.965,66,Righteous Thunderbolt
234,2016-04-22,4.872,66,Righteous Thunderbolt
235,2016-04-23,4.849,78,Righteous Thunderbolt
236,2016-04-24,5.042,82,Righteous Thunderbolt
237,2016-04-25,5.066,53,Righteous Thunderbolt
238,2016-04-26,4.884,50,Righteous Thunderbolt
239,2016-04-27,4.792,43,Righteous Thunderbolt
240,2016-04-28,4.792,66,Righteous Thunderbolt
241,2016-04-29,4.814,61,Righteous Thunderbolt
242,2016-04-30,4.848,65,Righteous Thunderbolt
243,2016-05-01,4.809,57,Righteous Thunderbolt
244,2016-05-02,4.789,51,Righteous Thunderbolt
245,2016-05-03,4.783,57,Righteous Thunderbolt
246,2016-05-04,4.628,36,Righteous Thunderbolt
247,2016-05-05,4.487,55,Righteous Thunderbolt
248,2016-05-06,4.633,52,Righteous Thunderbolt
249,2016-05-07,4.675,55,Righteous Thunderbolt
250,2016-05-08,4.583,41,Righteous Thunderbolt
251,2016-05-09,4.632,56,Righteous Thunderbolt
252,2016-05-10,4.539,55,Righteous Thunderbolt
253,2016-05-11,4.542,40,Righteous Thunderbolt
254,2016-05-12,4.4,48,Righteous Thunderbolt
255,2016-05-13,4.305,46,Righteous Thunderbolt
256,2016-05-14,4.395,68,Righteous Thunderbolt
257,2016-05-15,4.354,61,Righteous Thunderbolt
258,2016-05-16,4.147,51,Righteous Thunderbolt
259,2016-05-17,3.202,121,Righteous Thunderbolt
260,2016-05-18,3.645,86,Righteous Thunderbolt
261,2016-05-19,3.712,54,Righteous Thunderbolt
262,2016-05-20,3.723,59,Righteous Thunderbolt
263,2016-05-21,3.817,67,Righteous Thunderbolt
264,2016-05-22,3.775,62,Righteous Thunderbolt
265,2016-05-23,3.608,53,Righteous Thunderbolt
266,2016-05-24,3.472,48,Righteous Thunderbolt
267,2016-05-25,3.412,62,Righteous Thunderbolt
268,2016-05-26,3.457,62,Righteous Thunderbolt
269,2016-05-27,3.73,75,Righteous Thunderbolt
270,2016-05-28,3.894,50,Righteous Thunderbolt
271,2016-05-29,4.072,38,Righteous Thunderbolt
272,2016-05-30,3.985,61,Righteous Thunderbolt
273,2016-05-31,3.97,54,Righteous Thunderbolt
274,2016-06-01,3.767,41,Righteous Thunderbolt
275,2016-06-02,3.741,60,Righteous Thunderbolt
276,2016-06-03,3.69,78,Righteous Thunderbolt
277,2016-06-04,3.848,234,Righteous Thunderbolt
278,2016-06-05,4.119,136,Righteous Thunderbolt
279,2016-06-06,4.014,91,Righteous Thunderbolt
280,2016-06-07,4.11,54,Righteous Thunderbolt
281,2016-06-08,3.96,59,Righteous Thunderbolt
282,2016-06-09,3.931,90,Righteous Thunderbolt
283,2016-06-10,3.9,89,Righteous Thunderbolt
284,2016-06-11,4.007,80,Righteous Thunderbolt
285,2016-06-12,3.948,87,Righteous Thunderbolt
286,2016-06-13,3.907,93,Righteous Thunderbolt
287,2016-06-14,3.907,56,Righteous Thunderbolt
288,2016-06-15,3.855,76,Righteous Thunderbolt
289,2016-06-16,3.818,71,Righteous Thunderbolt
290,2016-06-17,3.777,92,Righteous Thunderbolt
291,2016-06-18,3.684,80,Righteous Thunderbolt
292,2016-06-19,3.713,80,Righteous Thunderbolt
293,2016-06-20,3.702,78,Righteous Thunderbolt
294,2016-06-21,3.673,73,Righteous Thunderbolt
295,2016-06-22,3.729,89,Righteous Thunderbolt
296,2016-06-23,3.718,48,Righteous Thunderbolt
297,2016-06-24,3.62,77,Righteous Thunderbolt
298,2016-06-25,3.808,87,Righteous Thunderbolt
299,2016-06-26,3.706,67,Righteous Thunderbolt
300,2016-06-27,3.707,67,Righteous Thunderbolt
301,2016-06-28,3.649,66,Righteous Thunderbolt
302,2016-06-29,3.663,65,Righteous Thunderbolt
303,2016-06-30,3.502,77,Righteous Thunderbolt
304,2016-07-01,3.39,91,Righteous Thunderbolt
305,2016-07-02,3.366,91,Righteous Thunderbolt
306,2016-07-03,3.346,73,Righteous Thunderbolt
307,2016-07-04,3.358,86,Righteous Thunderbolt
308,2016-07-05,3.469,80,Righteous Thunderbolt
309,2016-07-06,3.524,85,Righteous Thunderbolt
310,2016-07-07,3.688,76,Righteous Thunderbolt
311,2016-07-08,3.722,68,Righteous Thunderbolt
312,2016-07-09,3.742,85,Righteous Thunderbolt
313,2016-07-10,3.656,67,Righteous Thunderbolt
314,2016-07-11,3.777,69,Righteous Thunderbolt
315,2016-07-12,3.806,58,Righteous Thunderbolt
316,2016-07-13,3.809,70,Righteous Thunderbolt
317,2016-07-14,3.751,63,Righteous Thunderbolt
318,2016-07-15,3.792,70,Righteous Thunderbolt
319,2016-07-16,3.857,79,Righteous Thunderbolt
320,2016-07-17,3.96,77,Righteous Thunderbolt
321,2016-07-18,4.121,62,Righteous Thunderbolt
322,2016-07-19,4.104,38,Righteous Thunderbolt
323,2016-07-20,4.032,73,Righteous Thunderbolt
324,2016-07-21,3.967,51,Righteous Thunderbolt
325,2016-07-22,4.011,59,Righteous Thunderbolt
326,2016-07-23,3.962,51,Righteous Thunderbolt
327,2016-07-24,3.974,56,Righteous Thunderbolt
328,2016-07-25,3.881,66,Righteous Thunderbolt
329,2016-07-26,3.985,55,Righteous Thunderbolt
330,2016-07-27,4.013,62,Righteous Thunderbolt
331,2016-07-28,3.955,57,Righteous Thunderbolt
332,2016-07-29,3.985,67,Righteous Thunderbolt
333,2016-07-30,4.014,56,Righteous Thunderbolt
334,2016-07-31,4.211,58,Righteous Thunderbolt
335,2016-08-01,4.087,55,Righteous Thunderbolt
336,2016-08-02,4.141,52,Righteous Thunderbolt
337,2016-08-03,4.131,46,Righteous Thunderbolt
338,2016-08-04,4.117,54,Righteous Thunderbolt
339,2016-08-05,4.123,70,Righteous Thunderbolt
340,2016-08-06,4.014,68,Righteous Thunderbolt
341,2016-08-07,4.055,50,Righteous Thunderbolt
342,2016-08-08,3.853,42,Righteous Thunderbolt
343,2016-08-09,3.851,52,Righteous Thunderbolt
344,2016-08-10,3.786,58,Righteous Thunderbolt
345,2016-08-11,3.694,66,Righteous Thunderbolt
346,2016-08-12,3.773,58,Righteous Thunderbolt
347,2016-08-13,3.825,71,Righteous Thunderbolt
348,2016-08-14,3.621,77,Righteous Thunderbolt
349,2016-08-15,4.021,66,Righteous Thunderbolt
350,2016-08-16,3.937,67,Righteous Thunderbolt
351,2016-08-17,3.959,82,Righteous Thunderbolt
352,2016-08-18,3.912,70,Righteous Thunderbolt
353,2016-08-19,3.936,64,Righteous Thunderbolt
354,2016-08-20,3.952,66,Righteous Thunderbolt
355,2016-08-21,3.975,76,Righteous Thunderbolt
356,2016-08-22,3.961,71,Righteous Thunderbolt
357,2016-08-23,3.995,53,Righteous Thunderbolt
358,2016-08-24,3.996,71,Righteous Thunderbolt
359,2016-08-25,3.977,71,Righteous Thunderbolt
360,2016-08-26,3.939,52,Righteous Thunderbolt
361,2016-08-27,3.992,73,Righteous Thunderbolt
362,2016-08-28,4.14,65,Righteous Thunderbolt
363,2016-08-29,4.224,62,Righteous Thunderbolt
364,2016-08-30,4.138,53,Righteous Thunderbolt
365,2016-08-31,4.26,112,Righteous Thunderbolt
366,2016-09-01,4.252,72,Righteous Thunderbolt
367,2016-09-02,4.21,74,Righteous Thunderbolt
368,2016-09-03,4.174,71,Righteous Thunderbolt
369,2016-09-04,4.197,60,Righteous Thunderbolt
370,2016-09-05,4.142,58,Righteous Thunderbolt
371,2016-09-06,4.145,52,Righteous Thunderbolt
372,2016-09-07,4.039,40,Righteous Thunderbolt
373,2016-09-08,4.047,52,Righteous Thunderbolt
374,2016-09-09,4.056,68,Righteous Thunderbolt
375,2016-09-10,4.07,61,Righteous Thunderbolt
376,2016-09-11,4.007,51,Righteous Thunderbolt
377,2016-09-12,4.002,57,Righteous Thunderbolt
378,2016-09-13,4.017,43,Righteous Thunderbolt
